username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
geraldoalckmin,,"Embora enlutados, temos de procurar fazer o máximo para que o amor e a fé possam sobreviver neste mundo que parece naufragar em um mar de barbárie. A fé e a esperança vão aplacar a nossa dor.",108,764,536,1105954932199432195,https://twitter.com/geraldoalckmin/status/1105954932199432195,74215006,2019-03-13 22:12:58+00:00,Wed Mar 13 22:12:58 +0000 2019,,,,
geraldoalckmin,,"Neste momento em que a razão também parece ser vítima da chacina, só nos resta tentar transmitir consolo e solidariedade a quem foi atingido mais de perto por esta tragédia que abalou todo o Estado de São Paulo e o Brasil.",66,347,68,1105954794496237569,https://twitter.com/geraldoalckmin/status/1105954794496237569,74215006,2019-03-13 22:12:25+00:00,Wed Mar 13 22:12:25 +0000 2019,,,,
geraldoalckmin,,"Alunos e funcionários fuzilados em uma escola pública na dinâmica cidade de Suzano. É um ato covarde, estúpido, brutal. Uma tristeza imensa, sem explicação, sem o mínimo sentido.",96,1249,122,1105954612052406274,https://twitter.com/geraldoalckmin/status/1105954612052406274,74215006,2019-03-13 22:11:41+00:00,Wed Mar 13 22:11:41 +0000 2019,,,,
geraldoalckmin,,Minha solidariedade com as famílias e com o povo mineiro; nosso pensamento e orações para as vítimas atingidas pela triste tragédia de Brumadinho.,190,2162,208,1088937135472893953,https://twitter.com/geraldoalckmin/status/1088937135472893953,74215006,2019-01-25 23:10:19+00:00,Fri Jan 25 23:10:19 +0000 2019,,,,
geraldoalckmin,,https://www.instagram.com/p/Bp5maB8ATX-/?utm_source=ig_share_sheet&amp;igshid=1pydvg8wb88bv,45,881,246,1060689981704945664,https://twitter.com/geraldoalckmin/status/1060689981704945664,74215006,2018-11-09 00:26:12+00:00,Fri Nov 09 00:26:12 +0000 2018,,,,https://www.instagram.com/p/Bp5maB8ATX-/?utm_source=ig_share_sheet&igshid=1pydvg8wb88bv
geraldoalckmin,,"É pretender substituir a liberdade de Imprensa pelo clientelismo de Imprensa. Alguns fazem críticas aos seus críticos porque não conhecem seus próprios limites. O futuro Presidente vai ter de conviver e de respeitar todos e, em especial, os que a ele dirijam críticas.",2180,10699,1507,1057082754213523461,https://twitter.com/geraldoalckmin/status/1057082754213523461,74215006,2018-10-30 01:32:22+00:00,Tue Oct 30 01:32:22 +0000 2018,,,,
geraldoalckmin,,Os ataques feitos hoje pelo futuro presidente à Folha de São Paulo representam um acinte a toda a Imprensa e a ameaça de cooptar veículos de comunicação pela oferta de dinheiro público é uma ofensa à moralidade e ao jornalismo nacional.,4762,19665,1912,1057082670658805760,https://twitter.com/geraldoalckmin/status/1057082670658805760,74215006,2018-10-30 01:32:02+00:00,Tue Oct 30 01:32:02 +0000 2018,,,,
geraldoalckmin,,Começou mal. A defesa da liberdade ficou no discurso de ontem.,4176,23729,3110,1057082635296690176,https://twitter.com/geraldoalckmin/status/1057082635296690176,74215006,2018-10-30 01:31:54+00:00,Tue Oct 30 01:31:54 +0000 2018,,,,
geraldoalckmin,,A democracia se fortalece a cada voto e em todas as eleições. Felicidade para o povo brasileiro!,88,1103,104,1056715597009092608,https://twitter.com/geraldoalckmin/status/1056715597009092608,74215006,2018-10-29 01:13:25+00:00,Mon Oct 29 01:13:25 +0000 2018,,,,
geraldoalckmin,,"As urnas externaram o desejo sincero do povo por mudanças, pois que todos nós sejamos capazes de bem compreender essa mensagem para conduzirmos a política partidária a um novo patamar, de respeito e participação de outros brasileiros.",76,906,50,1056715536040648704,https://twitter.com/geraldoalckmin/status/1056715536040648704,74215006,2018-10-29 01:13:11+00:00,Mon Oct 29 01:13:11 +0000 2018,,,,
geraldoalckmin,,"Quero cumprimentar, especialmente, os valorosos companheiros João Doria, Eduardo Leite, Reinaldo Azambuja, Antônio Anastasia, Expedito Júnior e José de Anchieta por terem-se empenhado nesta legítima luta em benefício de seus estados e pelo engrandecimento do PSDB e da democracia.",59,584,63,1056715460513841152,https://twitter.com/geraldoalckmin/status/1056715460513841152,74215006,2018-10-29 01:12:53+00:00,Mon Oct 29 01:12:53 +0000 2018,,,,
geraldoalckmin,,"Associo-me a todos os brasileiros na esperança de que a decisão soberana das urnas seja o início de um período de respeito aos valores supremos da nossa Constituição e de renovação do compromisso fundamental de construção de uma sociedade mais livre, justa e solidária.",74,740,31,1056715368046227456,https://twitter.com/geraldoalckmin/status/1056715368046227456,74215006,2018-10-29 01:12:31+00:00,Mon Oct 29 01:12:31 +0000 2018,,,,
geraldoalckmin,,Felicito todos os eleitos e o faço na pessoa do presidente escolhido hoje. Que seja portador de decisões que honrem os deveres do elevado cargo que agora assume. A vida democrática se materializou hoje e elegeu homens e mulheres que haverão de conduzir o Brasil a dias melhores.,549,6587,512,1056715300601765889,https://twitter.com/geraldoalckmin/status/1056715300601765889,74215006,2018-10-29 01:12:15+00:00,Mon Oct 29 01:12:15 +0000 2018,,,,
geraldoalckmin,,"Ouvimos ontem todo o partido e decidimos liberar os militantes e líderes tucanos para que decidam de acordo com a sua consciência, convicção e realidades estaduais. Não apoiaremos nem Haddad, nem Bolsonaro. Apoiaremos sempre o Brasil.",137,1168,978,1050122193689034752,https://twitter.com/geraldoalckmin/status/1050122193689034752,74215006,2018-10-10 20:33:35+00:00,Wed Oct 10 20:33:35 +0000 2018,,,,
geraldoalckmin,,"Percorremos o Brasil inteiro ouvindo e dialogando com a população e as suas mais distintas realidades, portanto, cada voto recebido tem uma responsabilidade, um valor e um carinho enorme. Obrigado pela confiança e o respeito de cada um de vocês. Estamos juntos!",62,656,221,1049323455294951427,https://twitter.com/geraldoalckmin/status/1049323455294951427,74215006,2018-10-08 15:39:41+00:00,Mon Oct 08 15:39:41 +0000 2018,,,,
geraldoalckmin,,"Obrigado a todos que acreditaram em nosso projeto e depositaram nas urnas a esperança e a confiança de um país melhor. Foram mais de 5 milhões de votos. Nosso mais absoluto respeito às urnas, ao resultado das urnas, e à manifestação dos eleitores.",207,2730,702,1049323453277515776,https://twitter.com/geraldoalckmin/status/1049323453277515776,74215006,2018-10-08 15:39:41+00:00,Mon Oct 08 15:39:41 +0000 2018,,,,
geraldoalckmin,,"Com #Geraldo45, o governo federal vai liderar o combate à criminalidade. Conheça suas principais propostas para segurança pública http://alckm.in/planoseguranca e a defesa nacional http://alckm.in/defesanacional. E #Vote45! #EquipeGA #GeraldoPresidente #AnaAméliaVice",42,171,143,1048713009865150468,https://twitter.com/geraldoalckmin/status/1048713009865150468,74215006,2018-10-06 23:14:00+00:00,Sat Oct 06 23:14:00 +0000 2018,#Geraldo45 #Vote45 #EquipeGA #GeraldoPresidente #AnaAm,,,"http://alckm.in/planoseguranca,http://alckm.in/defesanacional"
geraldoalckmin,,Está chegando a hora! Vem com a gente mudar o Brasil: #Vote45! #equipeGA #Geraldo45 #GeraldoPresidente,151,659,420,1048697701565718529,https://twitter.com/geraldoalckmin/status/1048697701565718529,74215006,2018-10-06 22:13:10+00:00,Sat Oct 06 22:13:10 +0000 2018,#Vote45 #equipeGA #Geraldo45 #GeraldoPresidente,,,
